file,metric
hippocampus_162, inf 
hippocampus_393, inf 
hippocampus_282, inf 
hippocampus_138, inf 
hippocampus_163, inf 
hippocampus_097, inf 
hippocampus_001, inf 
hippocampus_020, inf 
hippocampus_244, inf 
hippocampus_156, inf 
hippocampus_046, inf 
hippocampus_356, inf 
hippocampus_132, inf 
hippocampus_104, inf 
hippocampus_125, inf 
hippocampus_370, inf 
hippocampus_098, inf 
hippocampus_297, inf 
hippocampus_019, inf 
hippocampus_108, inf 
hippocampus_166, inf 
hippocampus_372, inf 
hippocampus_077, inf 
hippocampus_238, inf 
hippocampus_133, inf 
hippocampus_123, inf 
hippocampus_385, inf 
hippocampus_105, inf 
hippocampus_361, inf 
hippocampus_268, inf 
hippocampus_233, inf 
hippocampus_303, inf 
hippocampus_136, inf 
hippocampus_193, inf 
hippocampus_188, inf 
hippocampus_276, inf 
hippocampus_026, inf 
hippocampus_325, inf 
hippocampus_378, inf 
hippocampus_141, inf 
hippocampus_048, inf 
hippocampus_053, inf 
hippocampus_060, inf 
hippocampus_381, inf 
hippocampus_227, inf 
hippocampus_195, inf 
hippocampus_068, inf 
hippocampus_274, inf 
hippocampus_084, inf 
hippocampus_302, inf 
hippocampus_295, inf 
hippocampus_203, inf 
hippocampus_106, inf 
hippocampus_176, inf 
hippocampus_107, inf 
hippocampus_064, inf 
hippocampus_175, inf 
hippocampus_038, inf 
hippocampus_169, inf 
hippocampus_326, inf 
hippocampus_023, inf 
hippocampus_050, inf 
hippocampus_226, inf 
hippocampus_288, inf 
hippocampus_289, inf 
hippocampus_090, inf 
hippocampus_355, inf 
hippocampus_353, inf 
hippocampus_074, inf 
hippocampus_222, inf 
hippocampus_250, inf 
hippocampus_338, inf 
hippocampus_155, inf 
hippocampus_070, inf 
hippocampus_094, inf 
hippocampus_374, inf 
hippocampus_251, inf 
hippocampus_205, inf 
hippocampus_024, inf 
hippocampus_101, inf 
hippocampus_036, inf 
hippocampus_366, inf 
hippocampus_199, inf 
hippocampus_044, inf 
hippocampus_333, inf 
hippocampus_067, inf 
hippocampus_265, inf 
hippocampus_311, inf 
hippocampus_181, inf 
hippocampus_184, inf 
hippocampus_178, inf 
hippocampus_216, inf 
hippocampus_261, inf 
hippocampus_234, inf 
hippocampus_260, inf 
hippocampus_212, inf 
hippocampus_033, inf 
hippocampus_243, inf 
hippocampus_336, inf 
hippocampus_298, inf 
hippocampus_299, inf 
hippocampus_087, inf 
hippocampus_011, inf 
hippocampus_386, inf 
hippocampus_383, inf 
hippocampus_242, inf 
hippocampus_014, inf 
hippocampus_230, inf 
hippocampus_309, inf 
hippocampus_229, inf 
