file, metric 
hippocampus_162, 81.75 
hippocampus_393, 77.18 
hippocampus_282, 69.83 
hippocampus_138, 82.22 
hippocampus_163, 74.32 
hippocampus_097, 82.43 
hippocampus_001, 77.52 
hippocampus_020, 77.92 
hippocampus_244, 68.05 
hippocampus_156, 74.33 
hippocampus_046, 77.26 
hippocampus_356, 77.12 
hippocampus_132, 82.22 
hippocampus_104, 78.79 
hippocampus_125, 60.42 
hippocampus_370, 76.94 
hippocampus_098, 79.28 
hippocampus_297, 70.03 
hippocampus_019, 76.86 
hippocampus_108, 71.5 
hippocampus_166, 79.22 
hippocampus_372, 74.96 
hippocampus_077, 67.96 
hippocampus_238, 76.55 
hippocampus_133, 80.83 
hippocampus_123, 78.26 
hippocampus_385, 75.17 
hippocampus_105, 78.72 
hippocampus_361, 70.61 
hippocampus_268, 69.56 
hippocampus_233, 76.47 
hippocampus_303, 78.17 
hippocampus_136, 81.32 
hippocampus_193, 77.16 
hippocampus_188, 74.55 
hippocampus_276, 77.46 
hippocampus_026, 78.28 
hippocampus_325, 66.78 
hippocampus_378, 74.05 
hippocampus_141, 80.34 
hippocampus_048, 65.04 
hippocampus_053, 81.86 
hippocampus_060, 50.0 
hippocampus_381, 80.49 
hippocampus_227, 77.96 
hippocampus_195, 43.28 
hippocampus_068, 79.1 
hippocampus_274, 74.46 
hippocampus_084, 76.36 
hippocampus_302, 72.57 
hippocampus_295, 77.16 
hippocampus_203, 80.96 
hippocampus_106, 70.53 
hippocampus_176, 75.36 
hippocampus_107, 75.83 
hippocampus_064, 81.46 
hippocampus_175, 77.56 
hippocampus_038, 67.46 
hippocampus_169, 81.62 
hippocampus_326, 65.46 
hippocampus_023, 74.68 
hippocampus_050, 68.24 
hippocampus_226, 69.13 
hippocampus_288, 71.81 
hippocampus_289, 70.51 
hippocampus_090, 77.06 
hippocampus_355, 75.4 
hippocampus_353, 70.32 
hippocampus_074, 79.17 
hippocampus_222, 16.84 
hippocampus_250, 75.86 
hippocampus_338, 77.18 
hippocampus_155, 79.26 
hippocampus_070, 30.98 
hippocampus_094, 79.04 
hippocampus_374, 81.27 
hippocampus_251, 45.28 
hippocampus_205, 72.86 
hippocampus_024, 68.49 
hippocampus_101, 81.47 
hippocampus_036, 78.82 
hippocampus_366, 79.23 
hippocampus_199, 48.39 
hippocampus_044, 83.44 
hippocampus_333, 48.61 
hippocampus_067, 81.68 
hippocampus_265, 72.76 
hippocampus_311, 76.06 
hippocampus_181, 81.83 
hippocampus_184, 81.32 
hippocampus_178, 79.65 
hippocampus_216, 77.44 
hippocampus_261, 64.22 
hippocampus_234, 78.23 
hippocampus_260, 72.83 
hippocampus_212, 77.4 
hippocampus_033, 78.24 
hippocampus_243, 54.22 
hippocampus_336, 64.2 
hippocampus_298, 67.99 
hippocampus_299, 70.65 
hippocampus_087, 70.6 
hippocampus_011, 76.05 
hippocampus_386, 80.97 
hippocampus_383, 75.86 
hippocampus_242, 74.8 
hippocampus_014, 77.1 
hippocampus_230, 82.58 
hippocampus_309, 71.79 
hippocampus_229, 81.62 
