,sample-set,u-kj,sigma-kj,SEM-kj,w-kj,A-kj,B-kj,u-kj-star,SEM-kj-star,w-kj-star,A-kj-star,B-kj-star
0,10,71.97800000000001,13.173431443629255,4.1658,16.329936,63.813,80.143,71.9484628,4.149522449995441,16.36,62.92,79.28
1,10,70.649,13.795271979921235,4.3624,17.100608,62.0986,79.1994,70.69714780000001,4.386283740368586,16.0,60.92,76.92
2,10,71.932,9.027864420780809,2.8549,11.191208000000001,66.3365,77.5275,71.96712680000002,2.8212832926267963,10.900000000000006,65.82,76.72
3,10,75.554,4.663271812794105,1.4747,5.780823999999999,72.6637,78.4443,75.55061246666666,1.4823158009517574,5.709999999999994,72.61,78.32
4,10,74.398,7.5303821948158784,2.3813,9.334696,69.7306,79.0654,74.43178826666667,2.3652761130367703,9.059999999999988,69.29,78.35
5,10,77.49399999999999,2.742134934681371,0.8671,3.399032,75.7944,79.1936,77.49275246666667,0.8665748133084552,3.3999999999999915,75.87,79.27
6,10,73.696,4.842332495812324,1.5313,6.002696,70.6947,76.6973,73.7008142,1.5434545364036567,6.030000000000001,70.86,76.89
7,10,75.38000000000001,5.959909395284461,1.8847,7.388024,71.686,79.074,75.386991,1.8934909935493052,7.339999999999989,71.54,78.88
8,10,71.68199999999999,14.56855504159558,4.607,18.059440000000002,62.6523,80.7117,71.76712366666666,4.607373605165227,17.290000000000006,61.44,78.73
9,10,71.098,14.084614868714016,4.4539,17.459288,62.3683,79.8277,71.16374479999999,4.406045486897098,16.330000000000005,61.35,77.68
10,10,77.51899999999999,5.351129693812324,1.6922,6.633424,74.2023,80.8357,77.510566,1.6987824299511314,6.549999999999997,73.93,80.48
11,10,73.772,5.0334775255284505,1.5917,6.239464,70.6522,76.8918,73.77182660000001,1.583357594101568,6.1499999999999915,70.56,76.71
12,10,72.01100000000001,8.437100746109412,2.668,10.45856,66.7816,77.2404,72.0185288,2.6725339500127134,10.199999999999989,66.26,76.46
13,10,74.913,9.492865794900927,3.0019,11.767448,69.0293,80.7967,74.9018348,2.9886862368007607,11.280000000000001,68.23,79.51
14,10,71.45899999999999,9.528172385090436,3.0131,11.811352,65.5534,77.3646,71.47638260000001,2.9966262837982613,11.460000000000008,64.82,76.28
15,10,69.654,7.2992591404881635,2.3082,9.048143999999999,65.1299,74.1781,69.64695206666666,2.308924709650734,8.929999999999993,65.01,73.94
16,10,74.29599999999999,3.2114675772923498,1.0156,3.9811520000000002,72.3055,76.2865,74.29264820000002,1.0096634862682847,3.9399999999999977,72.42,76.36
17,10,67.149,22.158412149790877,7.0071,27.467832,53.4151,80.8829,67.1361452,7.014035089275191,27.21,51.74,78.95
18,10,71.535,12.749353120844996,4.0317,15.804264,63.6329,79.4371,71.52047753333333,4.046741910825125,15.670000000000002,62.69,78.36
19,10,73.81199999999998,8.928736528759263,2.8235,11.06812,68.2779,79.3461,73.766125,2.845923301667668,10.86,67.52,78.38
20,10,75.9,4.95062622301462,1.5655,6.13676,72.8316,78.9684,75.89930860000001,1.5681574023991898,6.159999999999997,72.67,78.83
21,10,72.25300000000001,14.185754156899803,4.4859,17.584728,63.4606,81.0454,72.2456592,4.468717320930995,15.940000000000005,62.46,78.4
22,10,73.98799999999999,9.323924924622677,2.9485,11.55812,68.209,79.767,73.97781613333333,2.9579616402617055,11.279999999999987,67.43,78.71
23,10,73.24100000000001,7.310416472404291,2.3118,9.062256,68.71,77.772,73.24238820000001,2.3371437464065883,9.030000000000001,68.06,77.09
24,10,73.045,9.944435881436414,3.1447,12.327224,66.8814,79.2086,73.02931000000001,3.1402548002829334,11.790000000000006,66.13,77.92
25,10,75.797,5.287269711297125,1.672,6.554239999999999,72.5199,79.0741,75.79489753333333,1.6469499998382613,6.390000000000001,72.4,78.79
26,10,71.703,14.436077064078036,4.5651,17.895192,62.7554,80.6506,71.72519993333333,4.532614855447863,17.03,61.61,78.64
27,10,75.614,6.28678327922953,1.9881,7.793352,71.7174,79.5106,75.62125686666667,2.007902417105851,7.769999999999996,71.36,79.13
28,10,66.499,15.584695345113422,4.9283,19.318936,56.8395,76.1585,66.50997793333333,4.944382263172996,19.279999999999994,55.79,75.07
29,10,77.974,5.1929398224897625,1.6422,6.437424,74.7554,81.1926,77.94709893333335,1.6354995117737563,6.3700000000000045,74.41,80.78
30,10,73.15,8.936080796411813,2.8258,11.077136,67.6114,78.6886,73.17702286666668,2.83608912470626,10.769999999999996,66.81,77.58
31,10,74.704,4.575052349427272,1.4468,5.671456,71.8684,77.5396,74.69863113333335,1.4433785502554002,5.6000000000000085,71.91,77.51
32,10,75.082,5.251921172294955,1.6608,6.510336,71.8268,78.3372,75.09950033333334,1.6606887055274855,6.480000000000004,71.8,78.28
33,10,72.845,12.377217175116545,3.914,15.342880000000001,65.1735,80.5165,72.79310806666668,3.9166884310245558,15.490000000000002,63.99,79.48
34,10,75.227,4.974543295620213,1.5731,6.166551999999999,72.1437,78.3103,75.2133304,1.568423211222822,6.060000000000002,72.03,78.09
35,10,71.59,18.380619140823303,5.8125,22.785,60.1976,82.9824,71.62528166666667,5.771427527714776,19.820000000000007,58.97,78.79
