file,metric
hippocampus_162, 25.12 
hippocampus_393, 20.07 
hippocampus_282, 31.58 
hippocampus_138, 24.02 
hippocampus_163, 29.34 
hippocampus_097, 16.86 
hippocampus_001, 38.91 
hippocampus_020, 23.84 
hippocampus_244, 29.08 
hippocampus_156, 50.0 
hippocampus_046, 19.41 
hippocampus_356, 18.31 
hippocampus_132, 23.78 
hippocampus_104, 32.0 
hippocampus_125, 38.12 
hippocampus_370, 28.73 
hippocampus_098, 31.23 
hippocampus_297, 19.15 
hippocampus_019, 19.45 
hippocampus_108, 24.1 
hippocampus_166, 13.38 
hippocampus_372, 19.05 
hippocampus_077, 60.26 
hippocampus_238, 32.82 
hippocampus_133, 24.44 
hippocampus_123, 23.39 
hippocampus_385, 44.01 
hippocampus_105, 35.29 
hippocampus_361, 28.29 
hippocampus_268, 27.41 
hippocampus_233, 63.68 
hippocampus_303, 17.66 
hippocampus_136, 23.95 
hippocampus_193, 15.77 
hippocampus_188, 23.96 
hippocampus_276, 22.0 
hippocampus_026, 27.16 
hippocampus_325, 24.57 
hippocampus_378, 30.87 
hippocampus_141, 31.91 
hippocampus_048, 25.51 
hippocampus_053, 17.01 
hippocampus_060, 42.62 
hippocampus_381, 29.39 
hippocampus_227, 29.1 
hippocampus_195, 30.64 
hippocampus_068, 25.2 
hippocampus_274, 54.84 
hippocampus_084, 22.0 
hippocampus_302, 36.19 
hippocampus_295, 17.5 
hippocampus_203, 16.66 
hippocampus_106, 42.0 
hippocampus_176, 47.06 
hippocampus_107, 28.03 
hippocampus_064, 36.51 
hippocampus_175, 39.0 
hippocampus_038, 17.36 
hippocampus_169, 23.67 
hippocampus_326, 32.18 
hippocampus_023, 23.16 
hippocampus_050, 21.2 
hippocampus_226, 15.64 
hippocampus_288, 21.56 
hippocampus_289, 25.78 
hippocampus_090, 21.7 
hippocampus_355, 38.85 
hippocampus_353, 25.02 
hippocampus_074, 32.59 
hippocampus_222, 54.42 
hippocampus_250, 35.31 
hippocampus_338, 25.26 
hippocampus_155, 21.07 
hippocampus_070, 66.79 
hippocampus_094, 21.12 
hippocampus_374, 28.89 
hippocampus_251, 34.35 
hippocampus_205, 18.23 
hippocampus_024, 27.46 
hippocampus_101, 19.01 
hippocampus_036, 19.61 
hippocampus_366, 27.94 
hippocampus_199, 70.44 
hippocampus_044, 29.19 
hippocampus_333, 30.99 
hippocampus_067, 23.05 
hippocampus_265, 20.23 
hippocampus_311, 23.58 
hippocampus_181, 19.98 
hippocampus_184, 42.5 
hippocampus_178, 14.66 
hippocampus_216, 29.61 
hippocampus_261, 32.35 
hippocampus_234, 12.54 
hippocampus_260, 17.72 
hippocampus_212, 20.14 
hippocampus_033, 33.57 
hippocampus_243, 36.37 
hippocampus_336, 21.92 
hippocampus_298, 28.7 
hippocampus_299, 16.52 
hippocampus_087, 21.42 
hippocampus_011, 32.33 
hippocampus_386, 57.35 
hippocampus_383, 45.26 
hippocampus_242, 29.18 
hippocampus_014, 14.64 
hippocampus_230, 18.47 
hippocampus_309, 48.56 
hippocampus_229, 28.5 
