,sample-set,u-kj,sigma-kj,SEM-kj,w-kj,A-kj,B-kj,u-kj-star,SEM-kj-star,w-kj-star,A-kj-star,B-kj-star
0,10,28.306,12.395847046491015,3.9199,15.366008,20.623,35.989,28.292090666666667,3.9494386385467775,15.29,21.5,36.79
1,10,25.117,6.106820858679252,1.9311,7.569912,21.332,28.902,25.119155466666665,1.923840769146479,7.48,21.39,28.87
2,10,27.011000000000003,9.471091225407978,2.995,11.740400000000001,21.1408,32.8812,27.002340600000004,3.0352281796363036,11.769999999999996,21.64,33.41
3,10,21.136,3.7131016684168507,1.1742,4.602863999999999,18.8346,23.4374,21.122078599999995,1.1729578052180905,4.600000000000001,18.91,23.51
4,10,27.004,7.61231659877596,2.4072,9.436224,22.2858,31.7222,27.001370466666668,2.4062513427087753,9.490000000000002,22.06,31.55
5,10,27.238,9.102261037786162,2.8784,11.283328000000001,21.5964,32.8796,27.21087573333333,2.860742312015851,11.070000000000004,22.02,33.09
6,10,23.735999999999997,7.030115504029788,2.2231,8.714552,19.3787,28.0933,23.7000644,2.203091506524254,8.45,20.13,28.58
7,10,38.723,15.476396253650268,4.8941,19.184872,29.1306,48.3154,38.73010073333333,4.871663900563421,19.000000000000004,29.52,48.52
8,10,25.139,9.076205649939848,2.8701,11.250791999999999,19.5135,30.7645,25.131884400000004,2.8792249489466153,11.219999999999999,19.89,31.11
9,10,25.629,6.176073914713132,1.953,7.65576,21.801,29.457,25.6114558,1.940452778618011,7.559999999999999,21.93,29.49
10,10,30.398999999999994,12.983737096845422,4.1058,16.094736,22.3516,38.4464,30.36599306666667,4.06071073275996,15.830000000000002,23.01,38.84
11,10,30.46,10.898569630919463,3.4464,13.509888,23.705,37.215,30.519501866666666,3.4770184278866254,13.700000000000003,23.83,37.53
12,10,30.421,10.754207967116873,3.4008,13.331135999999999,23.7555,37.0865,30.4148968,3.4141170603856614,13.399999999999995,24.01,37.41
13,10,28.091,14.336776799545984,4.5337,17.772104,19.205,36.977,28.100847133333332,4.562054837931965,17.689999999999998,20.35,38.04
14,10,24.012999999999998,6.404454777730889,2.0253,7.939176000000001,20.0435,27.9825,23.987494,2.0189374567407157,7.93,20.34,28.27
15,10,23.438,5.591925965175148,1.7683,6.931736,19.9721,26.9039,23.42722106666667,1.7569359450084863,6.84,20.2,27.04
16,10,32.859,14.096640344422497,4.4577,17.474184,24.1218,41.5962,32.92789106666666,4.463154367021923,17.21,24.92,42.13
17,10,29.107999999999997,15.995500492325958,5.0582,19.828144,19.1939,39.0221,29.12827226666667,5.041622551587024,19.46,20.67,40.13
18,10,27.661,11.794850952852265,3.7299,14.621208000000001,20.3505,34.9715,27.666423666666667,3.733282015587164,14.379999999999995,21.03,35.41
19,10,25.499,9.51546262669346,3.0091,11.795672,19.6013,31.3967,25.498701133333334,3.004053164234179,11.719999999999999,19.94,31.66
20,10,26.640000000000004,5.609771831367119,1.774,6.95408,23.163,30.117,26.64738426666667,1.780029215173859,7.010000000000002,23.22,30.23
21,10,33.704,19.00180791398545,6.0089,23.554888,21.9266,45.4814,33.680762933333334,6.024788761337009,23.24,22.87,46.11
22,10,23.883,6.192300138074703,1.9582,7.676144,20.045,27.721,23.8532606,1.9786546435783852,7.669999999999998,20.21,27.88
23,10,26.7,6.312387820785412,1.9962,7.825104,22.7875,30.6125,26.701027466666666,2.011106709760967,7.800000000000001,22.87,30.67
24,10,32.105000000000004,11.912721141703939,3.7671,14.767032,24.7214,39.4886,32.1012116,3.7536208507020845,14.370000000000001,25.95,40.32
25,10,29.312,10.008421254123947,3.1649,12.406407999999999,23.1087,35.5153,29.337754266666668,3.168808070071215,12.309999999999999,23.26,35.57
26,10,26.558,12.00621655643442,3.7967,14.883064,19.1165,33.9995,26.55098753333333,3.789618719015312,14.68,20.15,34.83
27,10,30.329,9.525718293126246,3.0123,11.808216,24.4249,36.2331,30.307387466666665,3.023587988070285,11.830000000000002,24.73,36.56
28,10,35.243,15.093419128878653,4.773,18.71016,25.888,44.598,35.26628913333334,4.81987517241563,18.769999999999996,26.39,45.16
29,10,29.775,9.947601972334839,3.1457,12.331144,23.6094,35.9406,29.795294266666666,3.1279325377327325,12.2,23.84,36.04
30,10,32.559,12.11028112803332,3.8296,15.012032,25.053,40.065,32.61345573333333,3.832468903884344,14.919999999999998,25.94,40.86
31,10,30.35,11.559861590866907,3.6555,14.329559999999999,23.1851,37.5149,30.3251642,3.6646589134831764,14.200000000000003,23.54,37.74
32,10,26.416000000000004,6.531767295303776,2.0655,8.09676,22.3676,30.4644,26.409417,2.061715733600941,8.09,22.44,30.53
33,10,29.514,8.224700845623504,2.6009,10.195528000000001,24.4163,34.6117,29.542314799999996,2.602198962230654,10.110000000000003,24.84,34.95
34,10,33.047999999999995,13.471324953396381,4.26,16.699199999999998,24.6984,41.3976,33.0274494,4.261350881630492,16.679999999999996,24.87,41.55
35,10,29.781,8.14900171800203,2.5769,10.101448000000001,24.7302,34.8318,29.766997,2.5821191322227954,10.160000000000004,24.72,34.88
36,10,27.817,7.692426210240824,2.4326,9.535791999999999,23.0492,32.5848,27.812170733333332,2.436294652811272,9.46,23.28,32.74
37,10,24.894000000000002,10.147584145992582,3.2089,12.578888,18.6045,31.1835,24.896354,3.1940155070825815,11.620000000000001,20.41,32.03
38,10,29.195,13.9856342366015,4.4226,17.336592,20.5266,37.8634,29.148396466666664,4.416174727545797,16.83,22.07,38.9
39,10,27.038999999999998,9.04450932886909,2.8601,11.211592,21.4332,32.6448,27.026913866666664,2.8494889061808464,11.209999999999997,21.37,32.58
40,10,25.09,6.473289735520881,2.047,8.02424,21.0778,29.1022,25.053009666666668,2.0680209181340232,8.09,21.09,29.18
41,10,23.361,5.683425815474325,1.7973,7.0454159999999995,19.8384,26.8836,23.370373266666665,1.7960487758610553,7.02,20.14,27.16
42,10,24.683999999999997,8.668182277732743,2.7411,10.745111999999999,19.3114,30.0566,24.68058446666667,2.7535807940810546,10.46,20.33,30.79
43,10,30.662,13.277643465615425,4.1988,16.459296000000002,22.4324,38.8916,30.650258733333338,4.16167439883561,16.11,23.22,39.33
44,10,26.464,7.789002760302502,2.4631,9.655351999999999,21.6363,31.2917,26.466499400000004,2.4706337277710024,9.579999999999998,22.07,31.65
45,10,25.256999999999998,7.589679901023494,2.4001,9.408392000000001,20.5529,29.9611,25.2427868,2.390672829200829,9.330000000000002,20.72,30.05
46,10,29.743000000000002,9.310322282284325,2.9442,11.541264,23.9724,35.5136,29.749184266666663,2.9519506829065527,11.469999999999999,24.32,35.79
47,10,28.494000000000007,5.886955410057053,1.8616,7.297472,24.8452,32.1428,28.521737133333335,1.8594505657768323,7.209999999999997,24.98,32.19
48,10,27.330000000000002,11.729542190554582,3.7092,14.540064,20.06,34.6,27.34133206666667,3.7359481773973253,14.310000000000002,21.04,35.35
49,10,30.347,9.447667489915169,2.9876,11.711392,24.4913,36.2027,30.334733333333332,2.984449267601795,11.720000000000002,24.7,36.42
50,10,33.512,16.543259533719468,5.2314,20.507088,23.2584,43.7656,33.50000813333334,5.194210827854461,20.269999999999996,24.46,44.73
51,10,26.502999999999997,6.572956792798808,2.0786,8.148112,22.429,30.577,26.511051799999997,2.0869749454294113,8.21,22.54,30.75
52,10,25.482999999999997,7.8941586632142124,2.4964,9.785888,20.5901,30.3759,25.445015666666666,2.4823264360852884,9.689999999999998,20.85,30.54
53,10,27.788999999999998,7.681755593612698,2.4292,9.522464,23.0278,32.5502,27.794721266666667,2.433420290422734,9.52,23.27,32.79
54,10,28.956,8.476936003061482,2.6806,10.507952,23.7019,34.2101,28.950803266666668,2.6836797638620484,10.540000000000003,23.74,34.28
55,10,29.663,12.148353015944176,3.8416,15.059072,22.1334,37.1926,29.646248733333334,3.867580388347698,15.059999999999999,23.01,38.07
56,10,34.533,14.698789780114554,4.6482,18.220944,25.4226,43.6434,34.58381633333334,4.683821036397516,18.250000000000004,26.2,44.45
57,10,27.750999999999994,11.805241590073452,3.7331,14.633752,20.434,35.068,27.778307466666664,3.767711351027869,14.239999999999998,21.91,36.15
58,10,28.085999999999995,10.633697569519269,3.3627,13.181783999999999,21.4952,34.6768,28.05923566666667,3.3503476853397207,12.919999999999998,22.2,35.12
59,10,26.669,8.933595524759335,2.8251,11.074392,21.1319,32.2061,26.66451066666667,2.838873025718637,11.09,21.37,32.46
60,10,29.320999999999998,7.522742119732671,2.3789,9.325287999999999,24.6584,33.9836,29.301676733333334,2.3688184811206323,9.289999999999996,24.69,33.98
61,10,25.619,6.488914315969968,2.052,8.04384,21.5971,29.6409,25.589870066666666,2.068449631870207,8.09,21.59,29.68
62,10,26.951999999999998,6.377245173270352,2.0167,7.905464,22.9993,30.9047,26.955799133333336,1.997850667689134,7.830000000000002,22.81,30.64
63,10,27.074,9.194498572516068,2.9076,11.397791999999999,21.3752,32.7728,27.0988348,2.9094623774921535,11.34,21.8,33.14
64,10,24.107999999999997,8.775821101184777,2.7752,10.878784,18.6687,29.5473,24.101100266666663,2.7837902817944573,10.940000000000001,18.65,29.59
65,10,31.624999999999993,13.376709797255826,4.2301,16.581992,23.334,39.916,31.592511733333332,4.228768298420829,16.500000000000004,23.95,40.45
66,10,25.130000000000003,7.775521847438923,2.4588,9.638496,20.3107,29.9493,25.134259133333334,2.483032465511325,9.690000000000001,20.23,29.92
67,10,30.833,12.970114147531623,4.1015,16.077879999999997,22.794,38.872,30.822319133333334,4.092847367634654,15.829999999999998,23.5,39.33
68,10,29.784000000000002,8.079449486196445,2.5549,10.015208,24.7763,34.7917,29.7780794,2.5742149052793377,10.09,24.59,34.68
69,10,28.725000000000005,12.3595179922196,3.9084,15.320927999999999,21.0645,36.3855,28.696890466666662,3.937676735343966,14.799999999999997,22.78,37.58
70,10,25.139000000000003,6.358294504031721,2.0107,7.881944,21.1981,29.0799,25.118572133333334,2.0046495970443603,7.900000000000002,21.36,29.26
71,10,26.252,10.8777174076182,3.4398,13.484016,19.5099,32.9941,26.223792066666665,3.45743200348135,13.379999999999999,20.02,33.4
72,10,27.401999999999997,8.874068739873497,2.8062,11.000304,21.9018,32.9022,27.389525066666668,2.7860350686303876,10.920000000000002,22.03,32.95
73,10,32.006,19.192795106497645,6.0693,23.791656,20.1102,43.9018,31.945377933333333,6.14939633898318,23.75,21.18,44.93
74,10,28.012999999999998,10.45959468621992,3.3076,12.965791999999999,21.5301,34.4959,28.02947126666667,3.2806369346578204,12.79,22.15,34.94
75,10,24.389,9.569420515370824,3.0261,11.862312,18.4578,30.3202,24.383585733333334,3.065194251699197,11.760000000000002,19.2,30.96
76,10,33.894,10.698738430301024,3.3832,13.262144,27.2629,40.5251,33.897631399999995,3.3480736741297537,12.939999999999998,27.54,40.48
77,10,29.961999999999996,14.078448636124648,4.452,17.45184,21.2361,38.6879,29.891775,4.424379133570608,16.29,23.5,39.79
78,10,28.018,10.528007218842511,3.3292,13.050464,21.4927,34.5433,27.976642333333334,3.3280545658198815,12.900000000000002,22.2,35.1
79,10,31.235000000000003,12.881274199395026,4.0734,15.967728000000001,23.2511,39.2189,31.181377599999998,4.059564253129258,15.719999999999999,24.14,39.86
80,10,32.309000000000005,9.99963044317139,3.1622,12.395824,26.1112,38.5068,32.30848246666667,3.1479659283775483,12.3,26.37,38.67
81,10,25.978,8.497705337324895,2.6872,10.533824,20.7111,31.2449,25.957397266666664,2.6992252494828697,10.16,21.91,32.07
82,10,28.488,15.357087484285552,4.8563,19.036696,18.9696,38.0064,28.499907800000003,4.853181984289534,18.279999999999998,20.84,39.12
83,10,26.844000000000005,15.570897340872811,4.924,19.30208,17.1931,36.4949,26.838327733333337,4.9053649167747135,18.289999999999996,19.37,37.66
84,10,28.411,6.748566440363465,2.1341,8.365672,24.2282,32.5938,28.379968933333338,2.141985537821128,8.350000000000001,24.32,32.67
85,10,24.831999999999997,6.091992777408719,1.9265,7.551880000000001,21.0561,28.6079,24.823488066666666,1.9222225659179695,7.510000000000002,20.84,28.35
86,10,30.849999999999994,14.179782791002124,4.484,17.57728,22.0613,39.6387,30.870427000000003,4.486754746912034,16.89,23.92,40.81
87,10,36.626999999999995,14.050205728031173,4.4431,17.416952000000002,27.9186,45.3354,36.62661520000001,4.418740028190045,17.15,28.89,46.04
88,10,24.265,7.44887541847761,2.3555,9.23356,19.6481,28.8819,24.280748133333333,2.348711529845641,9.150000000000002,19.86,29.01
89,10,25.028000000000002,6.25353947776777,1.9775,7.7518,21.152,28.904,25.015165733333333,1.9895885014408874,7.77,21.3,29.07
90,10,37.44200000000001,14.592743265061578,4.6146,18.089232,28.3973,46.4867,37.392858466666674,4.629043064929113,18.030000000000005,28.49,46.52
91,10,27.599,12.352423608345045,3.9062,15.312304000000001,19.9429,35.2551,27.57870326666667,3.9266431439779867,15.07,21.11,36.18
92,10,29.978,11.484532032259738,3.6317,14.236264,22.8598,37.0962,30.0076542,3.643471577926154,14.309999999999999,23.24,37.55
93,10,31.993000000000002,12.63488428914171,3.9955,15.66236,24.1618,39.8242,31.978731466666662,3.9770990130357387,15.319999999999997,25.23,40.55
94,10,27.363,9.402737952320058,2.9734,11.655728,21.5351,33.1909,27.338434866666667,2.994159665864695,11.669999999999998,22.12,33.79
95,10,29.125,11.851558758239356,3.7478,14.691375999999998,21.7793,36.4707,29.109355133333338,3.754111386353232,14.609999999999996,22.26,36.87
96,10,26.692,8.574323063659312,2.7114,10.628687999999999,21.3776,32.0064,26.724158666666668,2.696839645293151,10.450000000000003,21.89,32.34
97,10,35.422,14.358963611626015,4.5407,17.799544,26.5222,44.3218,35.41263553333334,4.566937603839587,17.67,27.39,45.06
98,10,25.561,7.497297446413607,2.3709,9.293928,20.9141,30.2079,25.590464400000002,2.392689291640818,9.27,21.41,30.68
99,10,25.641999999999996,5.58680015751414,1.7667,6.925464,22.1793,29.1047,25.63910166666667,1.7625480696983056,6.890000000000001,21.95,28.84
100,20,29.714,11.647368114728751,2.6044,10.209248,24.6093,34.8187,29.68602176666667,2.590211906815646,9.989999999999998,25.24,35.23
101,20,25.816000000000003,7.147855902296856,1.5983,6.2653360000000005,22.6833,28.9487,25.80794736666667,1.6128584082552726,6.359999999999999,22.62,28.98
102,20,27.5985,11.797642253857337,2.638,10.340959999999999,22.428,32.769,27.597602499999997,2.6336586758431237,10.2,23.12,33.32
103,20,31.533499999999997,15.375916972655647,3.4382,13.477744,24.7947,38.2723,31.573015799999997,3.4155044468546207,13.29,25.33,38.62
104,20,30.361000000000008,11.780553425030593,2.6342,10.326063999999999,25.1979,35.5241,30.32070366666667,2.6436822169188985,10.309999999999999,25.69,36.0
105,20,34.3005,13.634818104763994,3.0488,11.951296,28.3248,40.2762,34.33571823333333,3.070892697673465,11.970000000000002,28.48,40.45
106,20,28.826500000000003,14.164949796945981,3.1674,12.416208000000001,22.6184,35.0346,28.827119566666667,3.1313695729430937,12.260000000000002,23.2,35.46
107,20,26.892000000000003,8.910752269028693,1.9925,7.8106,22.9867,30.7973,26.90372573333333,1.9832740301946326,7.66,23.22,30.88
108,20,28.439000000000004,9.864880080365904,2.2059,8.647128,24.1155,32.7625,28.438970400000002,2.195978250808473,8.630000000000003,24.25,32.88
109,20,30.4885,13.357117306889238,2.9867,11.707863999999999,24.6345,36.3425,30.5223794,3.021183750390285,11.780000000000001,25.11,36.89
110,20,32.3315,12.633882330859347,2.825,11.074,26.7945,37.8685,32.3433101,2.813456701240425,11.05,27.01,38.06
111,20,31.426500000000004,13.005183303206458,2.908,11.39936,25.7267,37.1263,31.416453333333337,2.935870033100164,11.430000000000003,26.06,37.49
112,20,29.464500000000005,9.908918445017095,2.2157,8.685544,25.1217,33.8073,29.449719233333337,2.240285681415076,8.75,25.18,33.93
113,20,29.007500000000004,9.15857951595115,2.0479,8.027768,24.9936,33.0214,29.035269566666667,2.0664436805093795,8.059999999999999,25.09,33.15
114,20,25.143000000000004,8.085151884782377,1.8079,7.086968,21.5995,28.6865,25.143005533333337,1.817693072019966,7.07,21.88,28.95
115,20,29.742,13.894067295072384,3.1068,12.178655999999998,23.6527,35.8313,29.72049713333333,3.121218141269812,12.159999999999997,24.0,36.16
116,20,28.478,10.46832727803253,2.3408,9.175936,23.8901,33.0659,28.49099706666667,2.321413796689005,9.099999999999998,24.31,33.41
117,20,28.866999999999997,11.732847949240625,2.6235,10.28412,23.7249,34.0091,28.876861033333334,2.649803113888199,10.279999999999998,24.37,34.65
118,20,31.311500000000002,14.636654424765245,3.2729,12.829768,24.8967,37.7263,31.283981999999998,3.2593744915156133,12.820000000000004,25.13,37.95
119,20,33.675,14.548101766209914,3.2531,12.752151999999999,27.299,40.051,33.6433148,3.2309706039776382,12.64,27.72,40.36
120,20,31.018499999999996,12.61482868492474,2.8208,11.057536,25.4898,36.5472,31.00574716666667,2.8085943209949895,10.969999999999999,25.82,36.79
121,20,26.419,8.37354339571964,1.8724,7.3398080000000006,22.7491,30.0889,26.429205333333336,1.8696622699402752,7.350000000000001,22.95,30.3
122,20,27.357499999999998,7.503913562268691,1.6779,6.577368,24.0688,30.6462,27.348680866666665,1.6767701425221992,6.600000000000001,24.15,30.75
123,20,26.071500000000004,8.730566003988516,1.9522,7.652623999999999,22.2452,29.8978,26.051318333333334,1.956552491875413,7.73,22.34,30.07
124,20,34.517999999999994,14.733367775223693,3.2945,12.91444,28.0608,40.9752,34.51205843333334,3.316972828358544,12.870000000000005,28.33,41.2
125,20,28.096500000000002,11.52838985938626,2.5778,10.104975999999999,23.044,33.149,28.1033171,2.562838834631938,9.930000000000003,23.77,33.7
126,20,26.627,6.216145188137098,1.39,5.448799999999999,23.9027,29.3513,26.588436266666665,1.396205385681036,5.440000000000001,23.91,29.35
127,20,31.6315,14.265495881671972,3.1899,12.504408,25.3794,37.8836,31.63934723333333,3.193111584277267,12.43,25.75,38.18
128,20,28.945500000000003,12.130596636192303,2.7125,10.633,23.629,34.262,28.960186099999998,2.6988943496087656,10.43,24.32,34.75
129,20,25.702999999999996,8.901474091407557,1.9904,7.8023679999999995,21.8018,29.6042,25.706943233333334,2.0001174380922935,7.809999999999999,22.07,29.88
130,20,29.827499999999997,10.104162446734515,2.2594,8.856848,25.3992,34.2558,29.815456466666664,2.230746769612853,8.750000000000004,25.56,34.31
131,20,26.0825,6.73498171860919,1.506,5.90352,23.1308,29.0342,26.082933266666668,1.507630153037098,5.850000000000001,23.25,29.1
132,20,30.992,11.987386120418414,2.6805,10.50756,25.7383,36.2457,30.98468786666667,2.6725526558902666,10.489999999999998,25.94,36.43
133,20,27.3585,12.062153321443068,2.6972,10.573024,22.072,32.645,27.354338933333334,2.692428650807829,10.470000000000002,22.81,33.28
134,20,26.4755,11.93611179362861,2.669,10.46248,21.2443,31.7067,26.511094333333336,2.7011965639819495,10.429999999999996,21.98,32.41
135,20,31.344000000000005,10.845224017972152,2.4251,9.506392,26.5909,36.0971,31.361911100000004,2.417923311662329,9.530000000000001,26.93,36.46
136,20,28.285000000000004,10.414301944921705,2.3287,9.128504,23.7207,32.8493,28.2503061,2.343958049173688,9.110000000000003,23.95,33.06
137,20,25.8325,13.178672495740987,2.9468,11.551456,20.0567,31.6083,25.853584466666668,2.9313607885130835,11.420000000000002,20.68,32.1
138,20,33.1965,11.527853345267713,2.5777,10.104584000000001,28.1442,38.2488,33.184082000000004,2.5774874094828606,10.05,28.56,38.61
139,20,26.3225,7.349073325937087,1.6433,6.441736,23.1016,29.5434,26.349711766666662,1.620899141753802,6.329999999999998,23.19,29.52
140,20,32.63699999999999,15.079098812594868,3.3718,13.217455999999999,26.0283,39.2457,32.66803733333333,3.371296259883759,13.250000000000004,26.52,39.77
141,20,31.9495,14.976577871797016,3.3489,13.127688,25.3857,38.5133,31.940414533333332,3.356579726829398,13.060000000000002,25.89,38.95
142,20,29.9775,10.381485382641541,2.3214,9.099888,25.4276,34.5274,30.02037696666667,2.3228805462355284,9.019999999999996,25.64,34.66
143,20,27.476000000000006,11.75868079335433,2.6293,10.306856,22.3225,32.6295,27.49130353333333,2.627710241737887,10.300000000000004,22.65,32.95
144,20,30.883,11.392713504692376,2.5475,9.9862,25.8899,35.8761,30.908766666666665,2.5296605066666333,9.93,26.22,36.15
145,20,30.167,11.224757502948561,2.5099,9.838808,25.2475,35.0865,30.164909033333334,2.530490550178311,9.830000000000002,25.77,35.6
146,20,28.8565,11.115769102945602,2.4856,9.743552,23.9848,33.7282,28.87314556666667,2.4827583359025667,9.600000000000001,24.57,34.17
147,20,29.106499999999993,12.612632665308224,2.8203,11.055576,23.5788,34.6342,29.12391153333333,2.852676830441947,11.090000000000003,24.04,35.13
148,20,28.096500000000002,12.157529056103463,2.7185,10.65652,22.7682,33.4248,28.073354700000003,2.7191724705575235,10.41,23.45,33.86
149,20,30.889999999999993,15.842286135529811,3.5424,13.886208,23.9468,37.8332,30.869013733333333,3.5369024456311187,13.650000000000002,24.37,38.02
150,20,26.267000000000003,8.777651223419623,1.9627,7.693783999999999,22.42,30.114,26.276897766666664,1.969728572544539,7.469999999999999,23.12,30.59
151,20,26.875,9.057974663245643,2.0254,7.9395679999999995,22.9052,30.8448,26.887423466666664,2.0101719392818067,7.810000000000002,23.08,30.89
152,20,34.3825,15.145410814831006,3.3866,13.275472,27.7447,41.0203,34.41846086666667,3.38295834892114,13.149999999999999,28.32,41.47
153,20,32.916,11.53793066368489,2.58,10.1136,27.8593,37.9727,32.90608236666667,2.5933204660947196,10.050000000000004,28.15,38.2
154,20,32.324,13.96828493409266,3.1234,12.243728,26.2021,38.4459,32.3384845,3.127456718247233,12.190000000000001,26.52,38.71
155,20,34.46999999999999,14.962017243674063,3.3456,13.114752000000001,27.9126,41.0274,34.4319105,3.344097904478837,12.999999999999996,28.26,41.26
156,20,30.809500000000003,10.292319211431407,2.3014,9.021488,26.2987,35.3203,30.820970333333335,2.3102340831944326,9.07,26.53,35.6
157,20,25.095999999999997,7.079030583349671,1.5829,6.204968,21.9935,28.1985,25.091736899999997,1.5939301533406003,6.239999999999998,22.12,28.36
158,20,27.059499999999996,8.120942356032334,1.8159,7.118328,23.5003,30.6187,27.07287786666667,1.8121505207487916,7.100000000000001,23.63,30.73
